Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,11/30/2018,"POS DEBIT                OPTICS PLANET INC        NORTH BROOK   IL",-161.86,MISC_DEBIT, ,,
DEBIT,11/30/2018,"POS DEBIT                IL TOLLWAY AUTO REPLENI  DOWNERS GROV  IL",-20.00,MISC_DEBIT, ,,
DEBIT,11/29/2018,"Netflix.com netflix.com CA                   11/28",-10.99,DEBIT_CARD,2221.77,,
DEBIT,11/29/2018,"QuickPay with Zelle payment to landlord 7707135157",-725.00,QUICKPAY_DEBIT,2232.76,,
DEBIT,11/29/2018,"Int'l Rescue Committee 917-3320800 NY        11/28",-150.00,DEBIT_CARD,2957.76,,
DEBIT,11/28/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        11/27",-20.00,DEBIT_CARD,3107.76,,
DEBIT,11/26/2018,"JEWEL-OSCO        3720 LOCKPORT IL   821959  11/24",-62.64,DEBIT_CARD,3127.76,,
DEBIT,11/26/2018,"SPEEDWAY 07440 100 LOCKPORT IL       249719  11/23",-33.23,DEBIT_CARD,3190.40,,
DEBIT,11/26/2018,"BP#8937138ANR PETROLEUM NORTHBROOK IL        11/23",-2.00,DEBIT_CARD,3223.63,,
DEBIT,11/23/2018,"Spotify USA 646-8375380 NY                   11/23",-14.99,DEBIT_CARD,3225.63,,
DEBIT,11/23/2018,"EMBERS TAP HOUSE LOCKPORT IL                 11/21",-39.78,DEBIT_CARD,3240.62,,
CREDIT,11/23/2018,"OPTICSPLANET, IN DIRECT DEP                 PPD ID: 9444444404",1636.38,ACH_CREDIT,3280.40,,
DEBIT,11/21/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        11/20",-20.00,DEBIT_CARD,1644.02,,
DEBIT,11/19/2018,"IL TOLLWAY AUTO REPLE 800-824-7277 IL        11/16",-20.00,DEBIT_CARD,1664.02,,
